"","id","quality","severity","patch","week","varability"
"346",46,"good","slowdrying","slowincrease",6,25
"347",47,"good","slowdrying","slowincrease",6,19
"348",48,"good","slowdrying","slowincrease",6,24
"349",49,"good","fastdrying","fastincrease",6,36
"350",50,"good","fastdrying","fastincrease",6,28
"351",51,"good","fastdrying","fastincrease",6,77
"352",52,"good","fastdrying","fastincrease",6,125
"353",53,"good","fastdrying","fastincrease",6,17
"354",54,"good","fastdrying","fastincrease",6,61
"355",55,"good","fastdrying","slowincrease",6,40
"356",56,"good","fastdrying","slowincrease",6,35
"357",57,"good","fastdrying","slowincrease",6,37
"358",58,"good","fastdrying","slowincrease",6,31
"359",59,"good","fastdrying","slowincrease",6,10
"360",60,"good","fastdrying","slowincrease",6,32
"367",7,"poor","slowdrying","fastincrease",7,161
"368",8,"poor","slowdrying","fastincrease",7,116
"369",9,"poor","slowdrying","fastincrease",7,95
"370",10,"poor","slowdrying","fastincrease",7,216
"371",11,"poor","slowdrying","fastincrease",7,29
"372",12,"poor","slowdrying","fastincrease",7,89
"373",13,"poor","slowdrying","slowincrease",7,36
"374",14,"poor","slowdrying","slowincrease",7,58
"375",15,"poor","slowdrying","slowincrease",7,88
"376",16,"poor","slowdrying","slowincrease",7,97
"377",17,"poor","slowdrying","slowincrease",7,54
"378",18,"poor","slowdrying","slowincrease",7,120
"379",19,"poor","fastdrying","fastincrease",7,81
"380",20,"poor","fastdrying","fastincrease",7,45
"381",21,"poor","fastdrying","fastincrease",7,110
"382",22,"poor","fastdrying","fastincrease",7,75
"383",23,"poor","fastdrying","fastincrease",7,73
"384",24,"poor","fastdrying","fastincrease",7,73
"385",25,"poor","fastdrying","slowincrease",7,33
"386",26,"poor","fastdrying","slowincrease",7,43
"387",27,"poor","fastdrying","slowincrease",7,104
"388",28,"poor","fastdrying","slowincrease",7,126
"389",29,"poor","fastdrying","slowincrease",7,46
"390",30,"poor","fastdrying","slowincrease",7,117
"397",37,"good","slowdrying","fastincrease",7,51
"398",38,"good","slowdrying","fastincrease",7,9
"399",39,"good","slowdrying","fastincrease",7,31
"400",40,"good","slowdrying","fastincrease",7,47
"401",41,"good","slowdrying","fastincrease",7,67
"402",42,"good","slowdrying","fastincrease",7,61
"403",43,"good","slowdrying","slowincrease",7,102
